ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
42,XAUUSDm,sell,2026-05-15T10:15:00+00:00,2026-05-15T13:55:00+00:00,4557.246,4540.61386,4540.61386,4500.541,15.761,internal_structure_anchor+sl_floor(15.761),0.01,8,B,sl_hit,16.6321
43,XAUUSDm,sell,2026-05-15T15:05:00+00:00,2026-05-15T16:40:00+00:00,4558.544,4546.04436,4546.04436,4500.502,19.347,internal_structure_anchor+sl_floor(19.347),0.01,8,B,sl_hit,12.4996
44,XAUUSDm,sell,2026-05-21T12:55:00+00:00,2026-05-21T13:50:00+00:00,4503.912,4512.03757,4512.03757,4453.399,11.912,internal_structure_anchor+sl_floor(11.912),0.02,9,B,sl_hit,-16.2511
45,XAUUSDm,buy,2026-05-26T09:10:00+00:00,2026-05-26T11:20:00+00:00,4520.564,4527.382,4527.382,4550.564,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,13.636
46,XAUUSDm,sell,2026-05-27T06:00:00+00:00,2026-05-27T08:00:00+00:00,4495.233,4488.74771,4488.74771,4451.409,14.608,internal_structure_anchor,0.02,9,B,sl_hit,12.9706
47,XAUUSDm,sell,2026-05-27T08:30:00+00:00,2026-05-27T10:35:00+00:00,4488.626,4473.0045,4473.0045,4458.626,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,31.243
48,XAUUSDm,sell,2026-05-27T10:40:00+00:00,2026-05-27T10:45:00+00:00,4465.832,4458.33757,4458.33757,4421.759,14.691,internal_structure_anchor,0.02,8,B,sl_hit,14.9889
49,XAUUSDm,sell,2026-05-27T12:10:00+00:00,2026-05-27T12:15:00+00:00,4430.252,4446.922,4446.922,4380.242,16.67,internal_structure_anchor,0.01,8,B,sl_hit,-16.67
50,XAUUSDm,sell,2026-05-27T23:45:00+00:00,2026-05-28T01:00:00+00:00,4448.353,4458.353,4458.353,4418.353,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-20.0
51,XAUUSDm,sell,2026-05-28T01:00:00+00:00,2026-05-28T02:10:00+00:00,4454.2455,4401.265,4421.54979,4401.265,12.2245,aggressive_ob_boundary+sl_floor(12.225),0.03,10,A+,tp_hit,158.9415
52,XAUUSDm,sell,2026-05-28T04:20:00+00:00,2026-05-28T05:30:00+00:00,4371.61,4386.592,4386.592,4326.664,14.982,internal_structure_anchor+sl_floor(14.982),0.02,8,B,sl_hit,-29.964
53,XAUUSDm,sell,2026-05-28T10:15:00+00:00,2026-05-28T12:00:00+00:00,4399.17,4390.28821,4390.28821,4366.232,10.0,internal_structure_anchor+sl_floor(10.000),0.03,8,B,sl_hit,26.6454
54,XAUUSDm,sell,2026-06-01T03:05:00+00:00,2026-06-01T09:15:00+00:00,4517.671,4503.67614,4503.67614,4469.455,16.072,internal_structure_anchor,0.02,8,B,sl_hit,27.9897
